case,band_pp,D_pct,saving_vs_rule1_pct,endofyear_divergence_pp,rule1_divergence_pp,saves_energy,no_worse_on_equity,dominates_rule1
WP2024s42,0.0,8.343789187492538,-0.004454323298350916,0.02846371553911209,0.7191936630413148,False,True,False
WP2024s42,1.0,8.19338069124233,1.7982661499894144,1.0287009355185202,0.7191936630413148,True,False,False
WP2024s42,2.0,8.094499228739679,2.9834095516336587,1.998003568940812,0.7191936630413148,True,False,False
WP2024s42,3.0,8.026362104815897,3.8000667974052855,2.966348281314693,0.7191936630413148,True,False,False
WP2024s42,4.0,7.978328396072741,4.375774635180502,4.003257341052489,0.7191936630413148,True,False,False
WP2024s42,5.0,7.935880717732941,4.8845311262991755,4.945778471858301,0.7191936630413148,True,False,False
WP2024s42,6.0,7.8945873612265824,5.379452497369527,5.926783303391178,0.7191936630413148,True,False,False
WP2024s42,7.0,7.856836081027583,5.831920326010987,6.906061247286637,0.7191936630413148,True,False,False
WP2024s42,8.0,7.818174137342271,6.295302908486045,7.9011971173577695,0.7191936630413148,True,False,False
WP2024s42,10.0,7.742035121265347,7.207866802945353,9.856140309021603,0.7191936630413148,True,False,False
WP2024s42,inf,7.141416613782246,14.406577694078482,31.760269580514123,0.7191936630413148,True,False,False
WP2033s42,0.0,9.42864944205335,-0.1480621487163317,0.05946583904614944,1.2309063667926474,False,True,False
WP2033s42,1.0,9.12708057632172,3.0551047197754877,1.0528561669448795,1.2309063667926474,True,True,True
WP2033s42,2.0,9.000491797634641,4.399689747906812,2.0217339785574886,1.2309063667926474,True,False,False
WP2033s42,3.0,8.873605318287158,5.7474368560818485,3.044184527802353,1.2309063667926474,True,False,False
WP2033s42,4.0,8.80487346029731,6.477484401901409,4.037170655857258,1.2309063667926474,True,False,False
WP2033s42,5.0,8.767403245912439,6.875480889309749,5.033330750214763,1.2309063667926474,True,False,False
WP2033s42,6.0,8.735964655241899,7.209411422170411,6.0181383243466,1.2309063667926474,True,False,False
WP2033s42,7.0,8.701903891260528,7.5711938310936775,7.009274840818653,1.2309063667926474,True,False,False
WP2033s42,8.0,8.674244921120955,7.864978458206106,7.996657642727445,1.2309063667926474,True,False,False
WP2033s42,10.0,8.631507290655364,8.318923734065764,9.985951255346505,1.2309063667926474,True,False,False
WP2033s42,inf,8.400262851421049,10.775127309595007,26.99363636421283,1.2309063667926474,True,False,False
WP2033s43,0.0,10.577268887739915,-0.23828189653266935,0.04327017489363372,1.4896617566022077,False,True,False
WP2033s43,1.0,10.288560372195676,2.49774059416877,1.0329249811433447,1.4896617566022077,True,True,True
WP2033s43,2.0,10.1347044786513,3.9557966001402174,2.039935124297011,1.4896617566022077,True,False,False
WP2033s43,3.0,10.048081696184964,4.776700273827374,3.0161792302063546,1.4896617566022077,True,False,False
WP2033s43,4.0,9.980848305787791,5.413855253153177,4.0128770062842785,1.4896617566022077,True,False,False
WP2033s43,5.0,9.925175647534092,5.941451901323111,5.024321164793867,1.4896617566022077,True,False,False
WP2033s43,6.0,9.880608691626094,6.363802428381591,6.001438358558617,1.4896617566022077,True,False,False
WP2033s43,7.0,9.837671815765034,6.770705071398066,7.002521974621875,1.4896617566022077,True,False,False
WP2033s43,8.0,9.822911036931812,6.910589490088785,7.993534849652639,1.4896617566022077,True,False,False
WP2033s43,10.0,9.77574310539688,7.357588849550567,10.000777031389,1.4896617566022077,True,False,False
WP2033s43,inf,9.44996933121256,10.444870052076825,31.20853077713695,1.4896617566022077,True,False,False
