generator,bus,psse_name,carrier,p_nom,donor,donor_bus,method,distance_km
11262-1,11261,W_ARKLOW_OFF,wind,800.0,11271-1,1121,nearest_km,0.0
11571-1,1151,BALLINKNOCKA,solar,50.0,52678-1,5261,nearest_km,24.074475499857346
14771-1,14720,NISA BELCAMP,wind,500.0,27071-1,2701,nearest_km,6.873797275221519
15271-1,1521,BOGTOWN,wind,56.4,67066-1,2401,nearest_km,0.0
16471-1,16410,BALLYMONEEN,solar,100.0,18212-1,1821,nearest_km,19.502941623968997
17471-1,17420,DUBLIN ARRAY,wind,824.0,27071-1,2701,nearest_km,23.682627637159392
17571-1,1751,COOMNACLOHY,wind,42.0,27771-1,2771,nearest_km,3.5455414116256256
17571-2,1751,COOMNACLOHY,wind,12.0,27771-1,2771,nearest_km,3.5455414116256256
18871-1,18810,BALLYNADRIDE,solar,120.0,40202-1,4021,nearest_km,21.39168560649208
20671-1,2061,CASTLETREASU,solar,55.0,13871-1,1381,nearest_km,1.7485695779642154
21274-1,21210,COOLSHAMROGE,solar,60.0,23675-1,2361,nearest_km,7.975700056266285
21571-1,2151,DROMBEG,solar,50.0,16572-1,1651,nearest_km,6.269701779708924
21572-1,2151,DROMBEG,wind,25.2,16571-1,1651,nearest_km,6.269701779708924
22171-1,2211,DENNISTOWN,solar,101.1,55074-1,5501,nearest_km,0.0
22371-1,2231,DERRYBRIEN,wind,59.5,42672-2,4261,nearest_km,31.492066094728692
22771-1,2271,DERRYLAHAN,solar,65.0,50024-1,5001,nearest_km,12.829468139744726
22871-1,22811,DALTON_A2,wind,2.55,18271-DW,1821,nearest_km,18.21008033542595
22872-1,2281,DALTON_A1,wind,40.8,16670-1,1661,nearest_km,0.0
22874-1,2281,DALTON_A1,solar,4.0,18212-1,1821,nearest_km,50.82433703864692
23371-1,2331,FERRY VIEW,wind,47.3,67062-1,20900,nearest_km,0.333847700643869
26071-1,2601,FIRLOUGH,wind,48.3,40471-1,4041,nearest_km,6.5471427704281036
26071-2,2601,FIRLOUGH,wind,27.3,40471-1,4041,nearest_km,6.5471427704281036
26471-1,2641,GRAHOMICK,solar,54.8,55074-1,5501,nearest_km,0.0
26571-1,2651,GARRINTAGGAR,wind,49.5,14373-1,1431,nearest_km,0.0
26671-1,2661,AGHALEAGUE,solar,40.0,18672-1,1861,nearest_km,24.322631674015426
29271-1,2921,HARRISTOWN,solar,42.3,15971-1,1591,nearest_km,5.68206487728591
31171-1,3111,BALLYNABRANN,solar,25.7,35371-1,3531,nearest_km,6.418049520448327
31172-1,3111,BALLYNABRANN,solar,16.3,35371-1,3531,nearest_km,6.418049520448327
32071-1,32060,KNOCKRAHA OF,wind,450.0,38071-1,3801,nearest_km,9.25086161250203
33471-1,33410,BENDINSTOWN,solar,81.0,19074-1,1901,nearest_km,5.227431518389866
33671-1,3361,LAURENCETOWN,solar,47.0,15971-1,1591,nearest_km,11.374609617888364
34872-1,3481,COOLNANOONAG,wind,37.0,68165-1,3461,nearest_km,0.0
34971-1,3491,LISLEA,wind,48.9,47871-1,4781,nearest_km,13.391485120975668
35071-1,3501,LANESBORO_A1,wind,4.6,47073-1,4701,nearest_km,18.214647553384577
35075-1,3501,LANESBORO_A1,solar,4.0,47071-1,4701,nearest_km,18.214647553384577
35076-1,3501,LANESBORO_A1,wind,4.95,47073-1,4701,nearest_km,18.214647553384577
35171-1,3511,LICKNY,wind,88.0,33174-1,3311,nearest_km,22.46164661160867
35171-2,3511,LICKNY,wind,9.5,33174-1,3311,nearest_km,22.46164661160867
35571-1,3551,COOLNABACKY,solar,55.0,12271-1,1221,nearest_km,15.794632387981244
35571-2,3551,COOLNABACKY,solar,25.0,12271-1,1221,nearest_km,15.794632387981244
