snapshot,demand_mw,wind,hydro,thermal,solar
2030-01-01 00:00:00,5430.95152,0.43764,0.92977,0.56485,0.0
2030-01-01 01:00:00,5264.39613,0.46132,0.92977,0.53399,0.0
2030-01-01 02:00:00,5153.35919,0.53262,0.92977,0.48561,0.0
2030-01-01 03:00:00,5097.84073,0.43847,0.92977,0.52646,0.0
2030-01-01 04:00:00,5097.84073,0.46018,0.92977,0.51558,0.0
2030-01-01 05:00:00,5208.87766,0.55519,0.92977,0.48063,0.0
2030-01-01 06:00:00,5541.98845,0.57598,0.92977,0.50819,0.0
2030-01-01 07:00:00,6041.65464,0.57681,0.92977,0.56474,0.0
2030-01-01 08:00:00,6430.2839,0.53361,0.92977,0.6307,0.0
2030-01-01 09:00:00,6541.32083,0.60135,0.92977,0.60942,0.0046
2030-01-01 10:00:00,6541.32083,0.59231,0.92977,0.61394,0.02881
2030-01-01 11:00:00,6485.80237,0.49323,0.92977,0.65726,0.07549
2030-01-01 12:00:00,6430.2839,0.4599,0.92977,0.66763,0.10123
2030-01-01 13:00:00,6374.76544,0.44215,0.92977,0.67019,0.10716
2030-01-01 14:00:00,6319.24697,0.47187,0.92977,0.64897,0.11445
2030-01-01 15:00:00,6374.76544,0.54505,0.92977,0.61864,0.04541
2030-01-01 16:00:00,6652.35777,0.5238,0.92977,0.66093,0.0272
2030-01-01 17:00:00,6985.46856,0.50563,1.0,0.70801,0.0
2030-01-01 18:00:00,6985.46856,0.48397,1.0,0.71886,0.0
2030-01-01 19:00:00,6763.3947,0.51476,1.0,0.67812,0.0
2030-01-01 20:00:00,6485.80237,0.49709,1.0,0.65532,0.0
2030-01-01 21:00:00,6208.21004,0.50543,0.92977,0.6195,0.0
2030-01-01 22:00:00,5930.61771,0.3598,0.92977,0.66082,0.0
2030-01-01 23:00:00,5653.02538,0.33351,0.92977,0.64234,0.0
2030-01-02 00:00:00,5556.84223,0.26104,0.93164,0.66768,0.0
2030-01-02 01:00:00,5385.04139,0.19481,0.93164,0.68128,0.0
2030-01-02 02:00:00,5270.50749,0.28962,0.93164,0.62072,0.0
2030-01-02 03:00:00,5213.24055,0.32703,0.93164,0.59545,0.0
2030-01-02 04:00:00,5213.24055,0.31995,0.93164,0.59899,0.0
2030-01-02 05:00:00,5327.77444,0.40158,0.93164,0.57115,0.0
2030-01-02 06:00:00,5671.37613,0.31073,0.93164,0.65585,0.0
2030-01-02 07:00:00,6186.77866,0.25194,0.93164,0.74406,0.0
2030-01-02 08:00:00,6587.64729,0.42083,0.93164,0.70514,0.0
2030-01-02 09:00:00,6702.18119,0.48209,0.93164,0.68751,0.03665
2030-01-02 10:00:00,6702.18119,0.43119,0.93164,0.71301,0.10294
2030-01-02 11:00:00,6644.91424,0.49957,0.93164,0.67222,0.14737
2030-01-02 12:00:00,6587.64729,0.61731,0.93164,0.6067,0.23073
2030-01-02 13:00:00,6530.38034,0.54536,0.93164,0.63622,0.21045
2030-01-02 14:00:00,6473.1134,0.60866,0.93164,0.59798,0.24337
2030-01-02 15:00:00,6530.38034,0.43832,0.93164,0.68985,0.20929
2030-01-02 16:00:00,6816.71508,0.47924,0.93164,0.70199,0.10746
2030-01-02 17:00:00,7160.31677,0.69755,1.0,0.63178,0.0
2030-01-02 18:00:00,7160.31677,0.86629,1.0,0.54724,0.0
2030-01-02 19:00:00,6931.24898,0.8851,1.0,0.5117,0.0
2030-01-02 20:00:00,6644.91424,0.86036,1.0,0.49145,0.0
2030-01-02 21:00:00,6358.5795,0.82221,0.93164,0.47792,0.0
2030-01-02 22:00:00,6072.24476,0.83736,0.93164,0.43769,0.0
2030-01-02 23:00:00,5785.91002,0.87498,0.93164,0.3862,0.0
2030-01-03 00:00:00,5552.53818,0.81291,0.93337,0.39069,0.0
2030-01-03 01:00:00,5380.91667,0.83087,0.93337,0.36213,0.0
2030-01-03 02:00:00,5266.50233,0.73742,0.93337,0.3959,0.0
2030-01-03 03:00:00,5209.29516,0.69619,0.93337,0.41004,0.0
2030-01-03 04:00:00,5209.29516,0.68299,0.93337,0.41665,0.0
2030-01-03 05:00:00,5323.7095,0.66302,0.93337,0.4397,0.0
2030-01-03 06:00:00,5666.95251,0.73213,0.93337,0.4442,0.0
2030-01-03 07:00:00,6181.81704,0.74795,0.93337,0.49498,0.0
2030-01-03 08:00:00,6582.26722,0.66139,0.93337,0.584,0.0
2030-01-03 09:00:00,6696.68156,0.67746,0.93337,0.589,0.01084
2030-01-03 10:00:00,6696.68156,0.57653,0.93337,0.63957,0.05797
2030-01-03 11:00:00,6639.47439,0.42384,0.93337,0.70954,0.07609
2030-01-03 12:00:00,6582.26722,0.31035,0.93337,0.75988,0.10818
2030-01-03 13:00:00,6525.06005,0.32307,0.93337,0.74699,0.20102
2030-01-03 14:00:00,6467.85288,0.32641,0.93337,0.73879,0.1351
2030-01-03 15:00:00,6525.06005,0.3698,0.93337,0.72358,0.16623
2030-01-03 16:00:00,6811.0959,0.2349,0.93337,0.82378,0.11145
2030-01-03 17:00:00,7154.33891,0.30126,1.0,0.82966,0.0
2030-01-03 18:00:00,7154.33891,0.33598,1.0,0.81227,0.0
2030-01-03 19:00:00,6925.51024,0.40567,1.0,0.75126,0.0
2030-01-03 20:00:00,6639.47439,0.47168,1.0,0.68557,0.0
2030-01-03 21:00:00,6353.43854,0.54283,0.93337,0.61732,0.0
2030-01-03 22:00:00,6067.4027,0.49221,0.93337,0.61007,0.0
2030-01-03 23:00:00,5781.36685,0.47732,0.93337,0.58492,0.0
2030-01-04 00:00:00,5423.29563,0.53979,0.93497,0.5128,0.0
2030-01-04 01:00:00,5257.05923,0.46481,0.93497,0.53141,0.0
2030-01-04 02:00:00,5146.23496,0.41095,0.93497,0.54576,0.0
2030-01-04 03:00:00,5090.82283,0.50121,0.93497,0.49422,0.0
2030-01-04 04:00:00,5090.82283,0.45291,0.93497,0.51842,0.0
2030-01-04 05:00:00,5201.64709,0.46214,0.93497,0.52643,0.0
2030-01-04 06:00:00,5534.1199,0.35098,0.93497,0.62003,0.0
2030-01-04 07:00:00,6032.8291,0.31928,0.93497,0.69277,0.0
2030-01-04 08:00:00,6420.71404,0.32759,0.93497,0.73283,0.0
2030-01-04 09:00:00,6531.5383,0.33747,0.93497,0.74051,0.02642
2030-01-04 10:00:00,6531.5383,0.40975,0.93497,0.7043,0.08178
2030-01-04 11:00:00,6476.12617,0.53483,0.93497,0.63531,0.17881
2030-01-04 12:00:00,6420.71404,0.55895,0.93497,0.61691,0.15246
2030-01-04 13:00:00,6365.3019,0.65731,0.93497,0.56131,0.11637
2030-01-04 14:00:00,6309.88977,0.65041,0.93497,0.55845,0.07133
2030-01-04 15:00:00,6365.3019,0.41034,0.93497,0.68505,0.06933
2030-01-04 16:00:00,6642.36257,0.51827,0.93497,0.66256,0.01967
2030-01-04 17:00:00,6974.83537,0.50929,1.0,0.70496,0.0
2030-01-04 18:00:00,6974.83537,0.54811,1.0,0.68552,0.0
2030-01-04 19:00:00,6753.18684,0.5882,1.0,0.64016,0.0
2030-01-04 20:00:00,6476.12617,0.68527,1.0,0.55994,0.0
2030-01-04 21:00:00,6199.0655,0.75447,0.93497,0.49368,0.0
2030-01-04 22:00:00,5922.00483,0.7729,0.93497,0.45286,0.0
2030-01-04 23:00:00,5644.94416,0.85498,0.93497,0.38015,0.0
2030-01-05 00:00:00,4940.22699,0.8813,0.93643,0.28661,0.0
2030-01-05 01:00:00,4794.11845,0.83502,0.93643,0.29315,0.0
2030-01-05 02:00:00,4696.71275,0.7933,0.93643,0.30294,0.0
2030-01-05 03:00:00,4648.00991,0.83801,0.93643,0.27499,0.0
2030-01-05 04:00:00,4648.00991,0.85595,0.93643,0.266,0.0
2030-01-05 05:00:00,4745.4156,0.87087,0.93643,0.26963,0.0
2030-01-05 06:00:00,5037.63268,0.87496,0.93643,0.30089,0.0
2030-01-05 07:00:00,5475.95831,0.87444,0.93643,0.35113,0.0
2030-01-05 08:00:00,5816.87824,0.87941,0.93643,0.38751,0.0
2030-01-05 09:00:00,5914.28393,0.8779,0.93643,0.39937,0.02974
2030-01-05 10:00:00,5914.28393,0.87058,0.93643,0.40303,0.10188
2030-01-05 11:00:00,5865.58108,0.80514,0.93643,0.43027,0.07143
2030-01-05 12:00:00,5816.87824,0.87239,0.93643,0.39102,0.07205
2030-01-05 13:00:00,5768.17539,0.8727,0.93643,0.38532,0.08086
2030-01-05 14:00:00,5719.47254,0.87864,0.93643,0.37679,0.11465
2030-01-05 15:00:00,5768.17539,0.87821,0.93643,0.38256,0.063
2030-01-05 16:00:00,6011.68962,0.88377,0.93643,0.40753,0.02847
2030-01-05 17:00:00,6303.90671,0.88309,1.0,0.44119,0.0
